                           N             E             V      SN      SE      SV
P417 2007.9042         1.142         1.297        -2.145   0.918   0.644   2.661
P417 2016.9007         1.504         0.837        -5.113   0.872   0.610   2.518
P418 2019.0281         3.700        -0.996        -3.977   0.875   0.646   2.550
P419 2019.0719         4.313        -0.321        -0.317   1.163   0.837   3.259
P420 2008.1095         3.864         2.165        -0.462   0.832   0.590   2.351
P420 2009.8042        -6.670        -3.462         3.024   0.870   0.616   2.466
P421 2005.9849        -2.751        -1.281        -4.346   1.359   0.982   4.205
P421 2007.2033        -3.066        -0.500        19.839   1.407   1.024   4.366
P421 2008.0383         0.684         4.455         0.795   1.278   0.920   3.927
P421 2009.6126        -0.646        -3.862        -2.228   0.988   0.701   3.018
P422 2016.9281         1.053        -0.119        -4.539   0.805   0.591   2.357
P423 2014.0766        -5.143         2.775         0.640   0.976   0.736   3.445
P423 2017.8891         2.068         2.728        -4.119   0.845   0.650   3.016
P424 2010.6256        -3.037        -4.555         0.334   0.891   0.630   2.568
P425 2009.5989        -2.907        -4.177        -4.810   1.119   0.820   3.348
P425 2016.1341        -0.235        -2.037        -3.229   0.975   0.729   2.940
P425 2019.1294         0.545        -0.578        -4.871   0.943   0.713   2.843
P426 2009.3415        -1.166        -1.614        -2.082   0.901   0.613   2.649
P427 2009.6126        -0.683        -2.035        -2.373   0.942   0.693   2.815
P427 2016.1369        -0.599        -4.267        -3.354   0.973   0.721   2.922
P429 2015.0582         3.935        -6.658         0.119   0.923   0.659   2.787
P431 2008.7926        -1.858         5.582         0.447   1.313   0.937   3.724
P431 2009.4839        -1.356        -3.160        -2.139   1.175   0.825   3.270
P432 2006.0096        -1.003        -1.918        -4.764   1.009   0.723   3.033
P432 2015.2347        -3.605         6.357         5.903   0.992   0.689   3.029
P432 2016.9227         1.539         0.047        -3.679   0.922   0.641   2.828
P434 2013.4976        -1.643         0.758         4.477   0.933   0.674   2.674
P435 2008.2409         3.556         1.164         4.714   1.570   0.945   4.888
P435 2009.2953        -1.191        -5.677        -1.530   1.559   0.929   4.844
P437 2013.5003        -0.864         1.100         4.313   1.067   0.774   3.192
P437 2018.9788         1.768         2.532        -0.767   1.037   0.773   3.116
P438 2006.8528         0.232        -2.834        -2.912   1.734   1.238   4.973
P438 2010.6338        -0.268        -2.299        -2.304   0.953   0.666   2.685
P440 2009.1910        -5.732        -1.553        -0.855   1.034   0.720   3.050
P440 2013.5825        -2.067         0.327         3.041   1.129   0.787   3.261
P442 2011.3402         4.622        -2.993         0.868   0.965   0.711   2.808
P442 2014.1738        -1.090         0.485         6.104   1.011   0.750   2.939
P443 2019.6851         7.417         3.083         1.205   1.406   1.000   4.096
P444 2014.5216        -2.134        -0.428         6.254   1.342   1.019   3.925
P445 2013.6153         0.588        -2.111         4.259   0.920   0.652   2.700
P445 2016.9199         1.183         0.252        -3.953   0.782   0.562   2.285
P446 2009.6126        -1.841        -3.275        -3.169   1.019   0.723   2.980
P446 2016.1369        -0.355        -2.128        -4.387   1.000   0.718   2.931
P446 2019.3511         0.709        -3.430        -2.079   1.163   0.834   3.366
P447 2010.0835        -2.003        -1.330        -2.099   0.966   0.694   2.820
P447 2016.8788         2.394        -0.461        -7.868   0.982   0.717   2.866
P448 2013.5441        -1.242         0.677         2.499   0.880   0.626   2.597
P449 2011.6222        -0.541        -0.749         3.738   0.859   0.611   2.509
P451 2005.3607         2.369        -5.142        10.531   1.536   1.081   4.333
P451 2016.8788         0.719         0.142        -3.083   0.759   0.540   2.167
P452 2015.5017        -1.252         0.004         6.921   2.848   2.066  10.258
P452 2016.0561        14.940        -1.604       -15.087   2.833   2.057  10.215
P453 2017.9055         1.303         0.402        -2.902   1.032   0.740   2.981
P454 2016.9144         0.926         0.181        -3.869   0.747   0.537   2.109
P455 2011.2443        -2.440         7.145        54.246   4.049   3.124  13.414
P455 2011.2909        -0.124         3.099        58.345   5.055   3.888  16.628
P455 2011.3621         2.281       -10.386      -109.347   3.237   2.465  10.418
P456 2011.6359        -1.017         0.520         5.015   0.807   0.593   2.309
P457 2011.6331        -0.318         1.348         5.910   1.060   0.781   3.096
P457 2012.6187        -0.137         4.503         0.799   1.058   0.778   3.091
P457 2014.3053        -4.376        -0.585        -2.750   0.986   0.730   2.873
P457 2018.6721         1.754         2.912         1.597   0.975   0.728   2.824
P459 2012.4627         0.969         1.832         8.829   1.124   1.103   5.564
P460 2011.7262         0.604        -0.238         4.947   0.939   0.693   2.783
P460 2017.9247         2.194        -0.535        -1.898   0.851   0.638   2.516
P461 2011.7235         0.531         0.265         6.351   0.890   0.643   2.563
P461 2019.0419         5.057        -3.675        -0.833   0.901   0.662   2.578
P462 2010.2751        -4.355        -1.566         1.095   0.825   0.661   2.960
P462 2012.2245        -1.625         0.229         3.760   0.915   0.729   3.262
P462 2019.5154        -2.037        18.282        -6.546   1.047   0.858   3.732
P463 2010.2861        -3.338         0.327         0.104   0.780   0.657   2.693
P463 2012.2437        -1.455         0.954         3.894   0.857   0.717   2.946
P463 2019.5099       -28.738        24.777        -2.211   1.829   1.564   6.305
P463 2019.7207        -4.380         4.562         2.391   1.961   1.678   6.760
P464 2010.3299        -3.309        -0.421        -2.625   1.203   0.977   4.198
P464 2016.9610        -1.759        -0.027       -10.873   1.035   0.865   3.606
P464 2019.5099      -109.070       -21.688         7.921   2.147   1.769   7.384
P464 2019.6879       -10.632         0.089         1.799   2.234   1.842   7.679
P465 2010.3463        -3.250         1.338        -2.259   1.057   0.840   3.369
P465 2011.4333        -1.401         2.567         4.672   1.135   0.896   3.598
P465 2017.4292        -3.923         6.683        -2.750   1.110   0.898   3.527
P465 2019.5099       -13.521        -1.858         0.979   1.134   0.919   3.617
P466 2010.1930        -5.867        -1.285        -2.270   0.901   0.724   2.929
P466 2017.0322         1.288        -1.050        -7.980   0.892   0.727   2.812
P466 2019.5099       -35.526         0.966         2.995   0.941   0.769   2.952
P467 2010.1519        -1.239        -0.618        -5.157   0.917   0.791   3.445
P467 2017.0075         1.445        -0.247        -8.568   0.887   0.782   3.329
P467 2018.9733         3.364        -2.717        -4.270   1.236   1.105   4.650
P467 2019.5127       -14.746        -0.477         2.674   1.347   1.198   5.044
P468 2010.1519        -1.792        -1.460        -5.219   0.858   0.686   2.708
P468 2017.0322         0.837        -1.221        -7.970   0.834   0.679   2.611
P468 2019.1266         1.380        -0.186        -6.922   1.327   1.096   4.200
P468 2019.5127       -10.346         0.618         3.971   1.442   1.186   4.554
P469 2010.1684        -2.348        -1.332        -2.850   0.884   0.717   2.854
P469 2016.9610         0.920        -1.390        -7.031   0.908   0.754   2.933
P469 2019.5127        -8.251         0.027        -1.228   1.013   0.856   3.386
P470 2010.1848        -2.954        -1.239         0.096   0.814   0.692   2.839
P470 2013.8535        -0.825         0.588         5.071   0.848   0.718   2.954
P470 2019.5099        11.605         1.106        -0.224   0.970   0.837   3.374
P471 2010.2587        -1.934        -3.503        -0.470   0.948   0.795   3.218
P471 2012.1068        -1.187        -1.951        -0.482   0.920   0.757   3.104
P471 2013.8344         0.631         0.200         7.179   0.917   0.760   3.105
P471 2017.0322         0.010        -0.455        -4.091   0.902   0.776   3.098
P471 2019.5072         4.456        -0.207        -2.542   0.946   0.809   3.175
P472 2007.9918         0.435         3.070         2.149   0.704   0.602   2.418
P472 2010.2587        -0.313       -13.173        -3.505   0.769   0.654   2.636
P472 2018.7817         1.857         1.440        -4.446   0.876   0.765   2.981
P472 2019.8193         1.478         3.680        -1.964   1.141   0.997   3.854
P473 2007.9918         0.356         3.181         1.859   0.731   0.621   2.461
P473 2010.2587        -0.628       -18.179        -5.026   0.768   0.647   2.580
P473 2012.1040        -0.739        -2.985         1.640   0.821   0.688   2.741
P473 2019.0198         2.439         1.469        -2.695   0.940   0.814   3.133
P474 2007.9890         1.380         1.698        -0.192   0.747   0.634   2.563
P474 2010.2587        -1.029        -5.651        -2.138   0.829   0.700   2.831
P474 2016.9829         0.251         0.640        -4.310   0.807   0.698   2.733
P474 2019.0965         3.799         1.136        -3.723   0.962   0.832   3.263
P475 2010.2587        -1.065       -13.076        -3.671   0.930   0.821   3.475
P475 2011.4387        -0.471         1.517         5.958   0.998   0.879   3.706
P475 2017.4949        -0.411         1.158        -4.135   0.916   0.831   3.367
P475 2018.9432         2.806         1.043        -2.786   0.883   0.798   3.228
P476 2006.7324         1.427         1.472         0.481   0.768   0.644   2.566
P476 2010.2587        -0.325        -4.983        -0.857   0.742   0.620   2.480
P476 2019.1321         3.243         1.221        -5.893   0.820   0.701   2.721
P477 2010.2423        -2.076        -3.961        -4.592   0.871   0.735   2.954
P477 2016.3751        -0.130        -3.386        -1.795   0.813   0.698   2.750
P477 2019.0281         2.815        -3.079        -3.594   0.807   0.700   2.751
P478 2006.7378         2.304         0.956         3.592   0.736   0.636   2.596
P478 2010.2587        -1.391        -7.288        -0.420   0.760   0.659   2.707
P478 2011.9836        -0.459        -1.282         5.138   0.828   0.716   2.948
P478 2019.8275         4.580         8.338        -1.464   2.397   2.085   8.344
P479 2007.9124         2.009         1.303        -1.359   0.774   0.656   2.601
P479 2010.2587        -4.236        -3.972        -3.155   0.843   0.708   2.822
P479 2017.0322         0.335        -0.118        -5.006   0.825   0.709   2.743
P479 2019.0198         3.718         1.175        -5.675   0.820   0.707   2.734
P480 2010.2615        -7.689       -16.052         1.516   0.745   0.631   2.573
P480 2014.1218        -1.871        -2.392         5.181   0.767   0.648   2.634
P481 2010.2587       -21.266       -21.460         3.637   1.857   1.572   6.427
P481 2010.4558       -13.051         0.800        -0.805   1.987   1.680   6.868
P481 2011.2443        -2.989        -1.643         0.614   1.138   0.951   3.919
P481 2012.2437        -2.227        -1.106         2.923   0.967   0.809   3.330
P481 2018.9788         2.427         0.684        -1.787   0.876   0.769   3.057
P482 2007.6441         2.462         2.055         0.626   0.824   0.707   2.896
P482 2010.2587        -5.042        -7.239        -0.008   0.867   0.741   3.040
P482 2014.7763        -3.687         2.089        -0.760   0.937   0.801   3.285
P482 2019.1294         2.793         0.768        -5.059   0.886   0.773   3.101
P483 2007.0691         1.593         2.419         3.822   0.854   0.732   2.872
P483 2010.2615        -3.794       -12.063        -3.263   0.855   0.726   2.870
P483 2012.2409        -1.479        -1.156         4.679   0.830   0.699   2.773
P483 2014.7763        -4.536         3.785         3.210   0.897   0.764   3.006
P483 2018.9788         2.039         0.858        -3.291   0.894   0.776   2.999
P484 2007.9206         2.281         1.208         1.396   0.866   0.736   3.041
P484 2010.2697        -6.113        -5.186         0.975   0.907   0.769   3.169
P484 2014.0671        -1.019         0.013         5.661   1.031   0.863   3.575
