                       N               E               V      SN      SE      SV
HUEG VEL          15.806          19.773           0.040   0.133   0.101   0.392
HUGO POS   -64.962561133   -65.667537912       20644.916   0.639   0.454   2.090
HUGO VEL          10.610          15.034           1.149   0.144   0.102   0.469
HUNT POS    35.880812234  -120.402386422      449333.680   0.807   0.693   2.897
HUNT VEL           7.992         -26.450           2.928   0.181   0.149   0.631
HURR POS    37.063870866  -113.574733317      924446.566   2.675   2.147   8.686
HURR VEL          -8.071         -14.600          -0.791   0.290   0.234   0.943
HUSB POS    44.119525713  -121.849364046     2038479.314   0.877   0.647   2.778
HUSB VEL          -5.076         -14.011           5.522   0.096   0.068   0.287
HVLK POS    37.651467176   -99.106762427      621307.038   1.609   1.372   5.618
HVLK VEL          -4.238         -14.617           0.111   0.203   0.172   0.706
HVWY POS    44.613600204  -110.535964979     2406847.854   1.648   1.221   4.907
HVWY VEL         -11.178         -14.588          -5.326   0.673   0.496   1.989
HVYS POS    34.441232305  -119.187546176      373935.996   0.649   0.553   2.270
HVYS VEL          13.741         -39.396          -0.177   0.118   0.098   0.412
HW62 POS    34.064956910  -114.844705084      220777.002   1.861   1.558   6.268
HW62 VEL          -9.600         -14.519           0.341   0.249   0.208   0.837
HWUT POS    41.607239852  -111.565118141     1714936.077   0.449   0.352   1.381
HWUT VEL          -8.465         -14.635          -1.067   0.128   0.100   0.406
HYDE POS    17.417262883    78.550874958      441690.360   0.633   0.720   2.876
HYDE VEL          35.132          40.638           0.135   0.205   0.229   0.874
I40A POS    34.727323784  -115.911450817      765305.093   0.876   0.740   2.967
I40A VEL          -8.460         -15.366          -0.269   0.110   0.092   0.377
IBEX POS    35.848382598  -116.367837378      700954.319   4.382   3.660  14.808
IBEX VEL          -8.027         -15.381          -0.123   0.367   0.307   1.242
ICIG POS    44.330338486  -112.941497985     2502420.769   1.010   0.759   3.492
ICIG VEL          -9.767         -15.468          -1.387   0.189   0.140   0.651
IDOG POS    33.796797629  -116.221516077      434934.114   0.553   0.470   1.909
IDOG VEL           1.698         -22.879          -0.782   0.159   0.133   0.548
IENG POS    45.015134502     7.639408777      316632.164   0.718   0.552   2.107
IENG VEL          15.800          20.349           0.134   0.089   0.069   0.269
IFR1 POS    33.513933678    -5.125521692     1708795.035   0.444   0.398   1.588
IFR1 VEL          17.596          17.075          -0.105   0.087   0.077   0.312
IFRN POS    33.539628099    -5.108461870     1710107.524   2.988   2.536  11.061
IFRN VEL          17.485          16.905           0.858   0.203   0.172   0.750
IID2 POS    32.706167990  -115.031804349        9743.388   0.841   0.739   3.042
IID2 VEL          -6.976         -13.998          -3.275   0.166   0.144   0.595
IISC POS    13.021170664    77.570381759      843689.672   0.442   0.555   2.176
IISC VEL          35.189          42.179           0.132   0.114   0.138   0.540
ILDX POS    46.009432639    -1.176801190       59022.328   0.511   0.385   1.480
ILDX VEL          16.539          18.315          -0.986   0.123   0.093   0.356
ILSG POS   -26.472905776  -105.361796814        6517.478   1.024   1.004   4.103
ILSG VEL          -3.756          65.159          -2.485   0.214   0.208   0.860
IMPS POS    34.157562249  -115.145101932      563227.513   0.426   0.360   1.420
IMPS VEL          -8.425         -14.853          -0.916   0.095   0.079   0.317
IMPZ POS    -5.491763942   -47.497235328      104965.940   1.525   1.749   6.553
IMPZ VEL          12.928          -4.227          -1.432   0.255   0.292   1.094
IND1 POS     9.864624025   -85.502196852       75212.133   0.883   0.996   5.222
IND1 VEL          28.576          15.313         -12.290   0.395   0.472   1.997
INMN POS   -74.820864717   -98.880463618      678593.347   3.580   2.507  14.831
INMN VEL          11.364          15.244          33.405   0.773   0.552   3.189
INVK POS    68.306183232  -133.526965049       46341.114   1.574   1.133   5.472
INVK VEL         -16.779         -12.788          -1.325   0.047   0.033   0.165
IQAL POS    63.755964620   -68.510501444       91733.309   0.519   0.364   1.580
IQAL VEL           6.209         -18.722           3.849   0.098   0.069   0.304
IQQE POS   -20.273539513   -70.131717730       38972.996   0.889   1.014   4.235
IQQE VEL          16.132          21.625           1.104   0.192   0.230   0.871
IQUI POS    -3.767344520   -73.268709022      122110.349   1.827   2.230   7.974
IQUI VEL          10.732          -3.400          -2.699   0.464   0.575   2.036
IRKJ POS    52.219019766   104.316187883      502043.291   0.544   0.377   1.582
IRKJ VEL          -6.552          25.304          -0.793   0.121   0.086   0.358
IRKM POS    52.219023340   104.316245995      502346.726   0.513   0.356   1.485
IRKM VEL          -6.479          25.058          -0.004   0.098   0.069   0.282
IRKT POS    52.219023320   104.316246026      502345.717   1.043   0.728   3.293
IRKT VEL          -6.729          25.346           0.051   0.110   0.076   0.348
ISBA POS    33.341418051    44.438405880       72352.881   0.787   0.670   2.726
ISBA VEL          27.877          25.081          -0.486   0.140   0.118   0.498
ISCO POS     5.544348865   -87.055827086       10333.980   1.987   2.497  10.417
ISCO VEL          73.811          49.637          -3.997   0.155   0.197   0.872
ISLK POS    35.662270819  -118.474304328      823357.561   0.777   0.651   2.704
ISLK VEL           0.158         -21.620           2.534   0.174   0.143   0.635
ISPA POS   -27.124983623  -109.344401576      112479.242   0.604   0.593   2.604
ISPA VEL          -6.100          66.413          -0.614   0.074   0.070   0.305
ISTA POS    41.104449118    29.019344642      147239.141   0.409   0.325   1.300
ISTA VEL          11.261          24.032           0.406   0.085   0.068   0.272
IUCO POS    39.174064781   -86.506448933      229459.549   1.258   1.054   4.317
IUCO VEL           1.049         -14.919          -1.036   0.153   0.128   0.530
IVCO POS    32.829383148  -115.506793021      -53445.954   6.466   5.870  24.497
IVCO VEL          10.573         -24.886          -1.619   0.460   0.418   1.744
JAB1 POS   -12.658840154   132.893902984       82093.459   3.191   3.557  15.454
JAB1 VEL          60.547          35.355          -1.753   0.225   0.251   1.002
JAMA POS    17.939025628   -76.780875391       -2947.911   7.942   9.048  36.032
JAMA VEL          10.803           3.161           0.608   0.425   0.473   1.929
JASK POS    25.649490888    57.763903164      -15886.475   1.646   1.567   6.219
JASK VEL          21.180          29.902          -0.636   0.369   0.342   1.408
JCT1 POS    30.479407130   -99.801076546      571833.105   1.233   1.054   4.795
JCT1 VEL          -3.657         -12.204           0.795   0.123   0.105   0.484
JCUZ POS    19.384082098  -155.101563652      825727.605   1.085   1.171   4.766
JCUZ VEL          16.736         -60.064         -14.843   0.526   0.575   2.274
JFWS POS    42.914271438   -90.248108778      293581.294   2.403   1.939   8.723
JFWS VEL          -0.770         -15.790          -3.544   0.223   0.182   0.787
JIME POS    45.523118473  -122.990529620       53044.985   0.729   0.540   2.150
JIME VEL          -5.412          -8.103          -0.571   0.187   0.137   0.560
JLN5 POS    35.873176025  -120.832905914      140925.838   0.635   0.521   2.080
JLN5 VEL          23.138         -37.778           0.274   0.315   0.259   1.032
JMBI POS    -1.615604327   103.520324733       62402.309   3.908   4.845  18.298
JMBI VEL         -10.520          19.336           1.175   0.577   0.716   2.696
JME2 POS    18.235047819   -72.538406261       -8442.982   0.600   0.670   2.673
JME2 VEL           9.629           8.196          -0.534   0.314   0.348   1.396
JNHG POS    34.449064642  -117.955441384     1276162.364   0.754   0.619   2.472
JNHG VEL           9.272         -30.642          -0.283   0.227   0.185   0.744
JNPR POS    37.771743749  -119.084739680     2309118.495   7.855   6.449  28.430
JNPR VEL          -0.787         -22.824          -0.862   0.573   0.469   2.072
JOEN POS    62.391175086    30.096164614      113797.491   0.370   0.253   1.109
JOEN VEL          11.978          20.617           3.612   0.032   0.022   0.095
JOG2 POS    -7.763814279   110.372463383      174249.119   0.846   1.030   3.897
JOG2 VEL          -8.460          26.026          -1.970   0.324   0.398   1.467
JOHN POS    36.458813614  -116.099043177      871732.279   2.311   1.902   8.142
JOHN VEL          -8.552         -15.128           0.373   0.231   0.191   0.816
JOKA POS    19.433612715  -155.004455710      482212.141   1.959   2.048   8.543
JOKA VEL          36.136         -61.395           7.534   0.449   0.482   1.866
JOZ2 POS    52.097837752    21.032355750      152514.302   0.741   0.532   2.134
JOZ2 VEL          14.147          20.896          -0.466   0.081   0.059   0.232
JOZE POS    52.097276846    21.031543365      141421.830   0.752   0.524   2.254
JOZE VEL          14.551          20.795           0.333   0.077   0.054   0.244
JPLM POS    34.204821704  -118.173231943      423975.206   0.778   0.673   2.830
JPLM VEL          12.735         -36.864          -0.942   0.098   0.087   0.378
JPLV POS    34.201583264  -118.174303090      372703.956   2.704   2.200   9.495
JPLV VEL          12.424         -37.235          -0.595   0.274   0.223   0.964
JRO1 POS    46.275123899  -122.217617557     1275607.651   0.544   0.398   1.573
JRO1 VEL          -6.183          -9.772          -0.285   0.164   0.120   0.487
JRSC POS    37.406249225  -122.227400953      144261.896   0.498   0.407   1.600
JRSC VEL          17.525         -34.364          -0.238   0.213   0.172   0.689
JSLM POS    31.771156207    35.202455849      790361.270   0.397   0.369   1.738
JSLM VEL          20.125          23.165           1.116   0.053   0.050   0.230
JTNT POS    33.017199576  -100.977148069      684514.213   2.373   2.163   9.030
JTNT VEL          -4.212         -12.717          -0.356   0.192   0.175   0.728
KABR POS    33.022818619    35.145061821      103407.879   0.426   0.389   1.673
KABR VEL          20.233          22.104          -1.024   0.133   0.121   0.537
KAGZ POS    79.131958983   -65.852965834       86636.869   0.485   0.406   2.499
KAGZ VEL           6.005         -22.084           9.679   0.240   0.198   1.244
KAIK POS   -42.425458986   173.533664444      315512.870   1.066   0.830   3.237
KAIK VEL          31.065         -29.893          -1.992   0.170   0.133   0.514
KAN1 POS    39.125877933   -95.402103782      294763.255   4.369   3.469  14.719
KAN1 VEL          -2.723         -13.911           0.758   0.284   0.226   0.957
KAPT POS   -40.860894008   174.909761614      367552.156   2.153   1.713   6.842
KAPT VEL          35.226         -18.748          -5.299   0.271   0.219   0.843
KARA POS   -43.608381714   169.775160094     1403288.232   0.625   0.473   1.854
KARA VEL          41.146         -12.108           0.672   0.175   0.135   0.532
KARL POS    49.011247539     8.411263002      182898.286   0.425   0.309   1.204
KARL VEL          15.917          19.562           0.040   0.088   0.065   0.257
KARR POS   -20.981422510   117.097196718      109134.449   0.342   0.358   1.412
KARR VEL          58.579          38.837          -1.198   0.064   0.068   0.263
KAT1 POS   -14.375995454   132.153276775      184291.685   0.467   0.534   2.003
KAT1 VEL          59.099          35.259          -0.588   0.140   0.157   0.604
KATO POS    50.253272466    19.035639947      332868.340   0.809   0.586   2.329
KATO VEL          11.358          21.115          -2.125   0.120   0.088   0.342
KATZ POS    32.995249226    35.688287257      346983.967   0.449   0.404   2.030
KATZ VEL          22.569          22.487           0.091   0.053   0.048   0.235
KAYO POS    35.195261331  -113.460925969     1424758.063   2.768   2.292   9.051
KAYO VEL          -7.972         -14.242          -0.417   0.281   0.233   0.920
KAYT POS    13.986880326   120.977736402       61064.450   8.665  10.103  41.241
KAYT VEL           0.699         -20.602          -9.162   0.578   0.673   2.751
KAZA POS    41.384940092    73.943515341     1409286.725   1.985   1.557   6.927
KAZA VEL           8.192          27.486           0.293   0.216   0.170   0.763
KBRC POS    34.398529204  -119.008202704      370473.396   0.755   0.634   2.566
KBRC VEL          13.337         -38.167          -1.430   0.172   0.143   0.602
KBUG POS    65.143683172   -41.157547697      290717.321   0.783   0.554   2.479
KBUG VEL          16.383         -18.264           9.711   0.485   0.342   1.542
KELS POS    46.118176748  -122.896070613      -15960.095   6.210   4.619  19.675
KELS VEL          -5.899          -8.706          -2.024   0.449   0.334   1.428
